UHF,name,race,age,sex,asthma,num,den,rate
101,Kingsbridge - Riverdale,Asian,00to04,M,Any,241,6062,0.039755856153085
101,Kingsbridge - Riverdale,Asian,00to04,M,MildInt,342,2837,0.120549876630243
101,Kingsbridge - Riverdale,Asian,00to04,M,Other,124,1350,0.091851851851852
101,Kingsbridge - Riverdale,Asian,00to04,M,Unspec,486,3296,0.14745145631068
101,Kingsbridge - Riverdale,Asian,05to11,M,Any,56,269,0.20817843866171
101,Kingsbridge - Riverdale,Asian,05to11,M,MildInt,1037,4679,0.221628553109639
101,Kingsbridge - Riverdale,Asian,05to11,M,Unspec,394,2485,0.158551307847082
101,Kingsbridge - Riverdale,Asian,12to17,F,Any,868,7637,0.113657195233731
101,Kingsbridge - Riverdale,Asian,12to17,F,Unspec,401,1819,0.220450797141286
101,Kingsbridge - Riverdale,Asian,18to64,F,Any,323,6464,0.049969059405941
101,Kingsbridge - Riverdale,Asian,18to64,F,MildInt,101,1450,0.069655172413793
101,Kingsbridge - Riverdale,Asian,18to64,F,Other,289,1735,0.16657060518732
101,Kingsbridge - Riverdale,Asian,18to64,F,Unspec,1589,7816,0.203300921187308
101,Kingsbridge - Riverdale,Asian,18to64,M,Any,4864,10581,0.459691900576505
101,Kingsbridge - Riverdale,Asian,18to64,M,ModPers,47,4856,0.009678747940692
101,Kingsbridge - Riverdale,Asian,18to64,M,Other,1495,6461,0.231388329979879
101,Kingsbridge - Riverdale,Asian,18to64,M,Unspec,223,3920,0.056887755102041
101,Kingsbridge - Riverdale,Asian,65to100,F,Any,1352,6576,0.205596107055961
101,Kingsbridge - Riverdale,Asian,65to100,F,Other,2135,7262,0.293996144312861
101,Kingsbridge - Riverdale,Asian,65to100,F,Unspec,1279,6203,0.206190552958246
101,Kingsbridge - Riverdale,Asian,65to100,M,Any,333,1571,0.211966900063654
101,Kingsbridge - Riverdale,Asian,65to100,M,ModPers,54,3440,0.015697674418605
101,Kingsbridge - Riverdale,Black,00to04,F,Any,389,2088,0.186302681992337
101,Kingsbridge - Riverdale,Black,00to04,F,MildInt,1381,5058,0.273032819296165
101,Kingsbridge - Riverdale,Black,00to04,F,MildPers,485,6799,0.071334019708781
101,Kingsbridge - Riverdale,Black,00to04,F,Other,898,4144,0.216698841698842
101,Kingsbridge - Riverdale,Black,00to04,F,Unspec,699,5697,0.122696155871511
101,Kingsbridge - Riverdale,Black,00to04,M,Any,561,4729,0.11862973144428
101,Kingsbridge - Riverdale,Black,00to04,M,MildPers,553,1876,0.294776119402985
101,Kingsbridge - Riverdale,Black,00to04,M,Unspec,47,1911,0.024594453165882
101,Kingsbridge - Riverdale,Black,05to11,F,Any,1013,2449,0.413638219681503
